-499.685,-498.752,-495.299,-496.388, 121.163, 120.873, 120.388, 120.962
-507.166,-496.269,-499.501,-496.004, 126.943, 119.122, 119.071, 123.025
-509.481,-503.444,-498.408,-510.922, 132.928, 119.511, 120.850, 114.214
-515.464,-497.384,-498.001,-500.104, 135.854, 120.862, 121.066, 118.376
-504.599,-496.663,-501.510,-499.502, 144.162, 121.167, 120.616, 117.769
-516.738,-500.817,-498.631,-502.289, 146.383, 122.098, 121.246, 117.508
-508.307,-498.037,-500.577,-502.704, 148.524, 120.769, 119.903, 117.601
-516.841,-501.270,-501.689,-505.733, 150.377, 120.805, 121.223, 118.412
-509.690,-503.282,-502.947,-507.141, 140.394, 122.686, 122.387, 115.563
-518.635,-505.918,-504.581,-509.256, 140.804, 119.337, 119.058, 115.564
-511.542,-504.022,-503.872,-511.094, 143.461, 119.037, 118.575, 113.743
-518.892,-507.225,-506.540,-513.771, 142.697, 118.287, 120.999, 113.276
-507.525,-509.208,-510.279,-512.581, 144.258, 118.904, 118.907, 111.869
-512.950,-509.416,-509.673,-513.250, 144.865, 115.673, 116.541, 112.237
-504.346,-509.944,-514.434,-516.055, 147.735, 118.107, 115.930, 112.159
-508.310,-508.292,-508.134,-513.241, 147.886, 116.346, 117.634, 112.283
-519.316,-503.667,-503.475,-506.426, 116.339, 117.751, 114.811, 116.353
-518.939,-504.536,-503.266,-506.001, 115.200, 116.912, 115.763, 112.807
-513.292,-501.272,-501.177,-504.719, 123.128, 118.801, 118.708, 114.098
-517.229,-501.145,-499.984,-502.569, 121.993, 119.947, 119.814, 116.296
-515.791,-502.711,-498.805,-505.373, 126.941, 120.044, 121.083, 117.954
-516.522,-502.823,-500.494,-508.377, 127.311, 121.046, 121.083, 116.038
-510.715,-498.145,-498.849,-503.632, 132.040, 120.960, 121.796, 117.940
-508.163,-500.098,-500.176,-524.855, 133.571, 121.318, 122.096, 111.217
-493.733,-498.786,-498.748,-499.128, 124.705, 122.381, 122.211, 117.249
-494.825,-500.022,-498.534,-498.136, 123.426, 121.141, 122.313, 113.936
-490.076,-502.256,-498.820,-501.186, 125.696, 121.257, 125.718, 116.512
-495.205,-499.352,-495.073,-498.146, 125.208, 122.399, 127.400, 111.760
-490.900,-506.353,-503.862,-502.557, 124.787, 119.166, 122.603, 113.168
-487.629,-502.878,-501.159,-498.582, 126.373, 120.067, 122.488, 116.276
-486.166,-504.998,-502.243,-497.727, 127.745, 117.892, 122.480, 114.957
-486.133,-503.610,-499.765,-499.498, 128.963, 121.130, 127.729, 117.001
