0,32767,32755,32756,32765,
1,32695,32767,32633,32705,
2,32592,32767,32486,32672,
3,32542,32767,32411,32647,
4,32528,32767,32366,32635,
5,32494,32767,32311,32615,
6,32442,32767,32222,32614,
7,32406,32767,32181,32591,
8,32463,32767,32143,32615,
9,32454,32767,32105,32610,
10,32411,32767,32037,32610,
11,32398,32767,32019,32611,
12,32409,32767,32049,32623,
13,32415,32767,32020,32630,
14,32368,32767,31963,32623,
15,32367,32767,31950,32633,
16,32721,32767,32200,32698,
17,32705,32767,32185,32701,
18,32666,32767,32104,32694,
19,32660,32767,32098,32717,
20,32705,32767,32128,32751,
21,32696,32760,32111,32767,
22,32668,32766,32050,32767,
23,32652,32767,32032,32767,
24,32684,32733,31966,32767,
25,32662,32724,31950,32767,
26,32627,32723,31888,32767,
27,32591,32704,31868,32767,
28,32603,32673,31878,32767,
29,32584,32659,31853,32767,
30,32555,32672,31808,32767,
31,32520,32633,31769,32767#
