0,32767,32767,32761,32760,
1,32767,32765,32686,32710,
2,32483,32767,32504,32554,
3,32480,32767,32415,32472,
4,32309,32767,32342,32395,
5,32299,32767,32302,32340,
6,32161,32767,32187,32288,
7,32164,32767,32143,32234,
8,31909,32767,32055,32089,
9,31883,32767,32002,31995,
10,31774,32767,31947,32002,
11,31765,32767,31901,31931,
12,31676,32767,31877,31881,
13,31688,32767,31861,31857,
14,31582,32767,31815,31836,
15,31605,32767,31783,31804,
16,31929,32767,32037,31940,
17,31956,32767,32005,31926,
18,31767,32767,31901,31829,
19,31805,32767,31879,31842,
20,31700,32767,31852,31783,
21,31717,32767,31825,31767,
22,31608,32767,31773,31737,
23,31602,32767,31754,31704,
24,31348,32767,31667,31558,
25,31352,32767,31677,31569,
26,31242,32767,31602,31507,
27,31249,32767,31585,31494,
28,31231,32767,31585,31511,
29,31216,32767,31576,31479,
30,31159,32767,31538,31493,
31,31138,32767,31516,31447#
