0,32767,32767,32767,32767,
1,32698,32767,32731,32690,
2,32669,32767,32735,32696,
3,32625,32767,32706,32645,
4,32621,32767,32745,32649,
5,32593,32767,32709,32604,
6,32594,32767,32703,32606,
7,32572,32767,32665,32560,
8,32578,32767,32706,32487,
9,32559,32767,32674,32447,
10,32571,32767,32666,32460,
11,32557,32767,32627,32417,
12,32579,32767,32673,32439,
13,32567,32767,32646,32408,
14,32582,32767,32640,32418,
15,32571,32767,32601,32378,
16,32560,32586,32767,32350,
17,32577,32614,32767,32344,
18,32622,32646,32767,32391,
19,32642,32673,32767,32387,
20,32648,32648,32767,32388,
21,32585,32767,32646,32464,
22,32601,32767,32640,32475,
23,32600,32767,32608,32442,
24,32545,32767,32578,32357,
25,32530,32767,32552,32317,
26,32554,32767,32545,32333,
27,32555,32767,32519,32308,
28,32555,32767,32539,32328,
29,32551,32767,32511,32297,
30,32567,32767,32509,32311,
31,32575,32767,32479,32289#
