0,32760,32761,32766,32767,
1,32533,32767,32739,32752,
2,32199,32764,32690,32767,
3,32071,32767,32686,32763,
4,31873,32743,32699,32767,
5,31782,32744,32725,32767,
6,31640,32762,32685,32767,
7,31627,32767,32663,32754,
8,31669,32716,32720,32767,
9,31665,32737,32736,32767,
10,31533,32728,32719,32767,
11,31532,32735,32732,32767,
12,31461,32718,32762,32767,
13,31465,32725,32767,32758,
14,31370,32708,32752,32767,
15,31385,32713,32764,32767,
16,31726,32767,32608,32746,
17,31726,32767,32635,32755,
18,31580,32754,32631,32767,
19,31586,32759,32644,32767,
20,31493,32738,32689,32767,
21,31495,32726,32696,32767,
22,31406,32728,32688,32767,
23,31397,32720,32708,32767,
24,31497,32684,32746,32767,
25,31508,32691,32762,32767,
26,31406,32683,32752,32767,
27,31410,32679,32759,32767,
28,31338,32632,32767,32738,
29,31314,32612,32767,32718,
30,31285,32637,32767,32752,
31,31263,32612,32767,32736#
