0,32750,32767,32752,32732,
1,32710,32764,32767,32690,
2,32553,32590,32767,32651,
3,32632,32639,32767,32687,
4,32518,32500,32767,32637,
5,32421,32501,32767,32611,
6,32439,32429,32767,32624,
7,32443,32499,32767,32622,
8,32538,32475,32767,32671,
9,32493,32521,32767,32643,
10,32515,32476,32767,32672,
11,32485,32527,32767,32659,
12,32498,32430,32767,32680,
13,32472,32449,32767,32716,
14,32484,32436,32767,32685,
15,32451,32490,32767,32678,
16,32760,32582,32767,32709,
17,32767,32649,32751,32662,
18,32706,32501,32715,32767,
19,32726,32625,32767,32752,
20,32694,32550,32767,32764,
21,32655,32566,32767,32765,
22,32620,32515,32749,32767,
23,32582,32584,32767,32725,
24,32735,32545,32727,32767,
25,32748,32600,32731,32767,
26,32681,32422,32620,32767,
27,32650,32619,32767,32749,
28,32665,32485,32707,32767,
29,32649,32521,32714,32767,
30,32620,32479,32708,32767,
31,32621,32548,32733,32767#
