0,32764,32766,32767,32761,
1,32626,32767,32627,32672,
2,32584,32767,32676,32641,
3,32484,32767,32543,32559,
4,32482,32767,32623,32613,
5,32413,32767,32506,32549,
6,32403,32767,32600,32566,
7,32387,32767,32506,32556,
8,32457,32767,32630,32528,
9,32435,32767,32555,32496,
10,32462,32767,32644,32545,
11,32435,32767,32572,32507,
12,32473,32767,32658,32587,
13,32466,32767,32600,32579,
14,32493,32767,32675,32607,
15,32488,32767,32621,32602,
16,32325,32767,32539,32556,
17,32318,32767,32505,32537,
18,32342,32767,32569,32558,
19,32358,32767,32557,32588,
20,32394,32767,32607,32637,
21,32400,32767,32584,32641,
22,32412,32767,32638,32650,
23,32430,32767,32621,32672,
24,32506,32719,32767,32624,
25,32579,32760,32767,32680,
26,32523,32689,32767,32633,
27,32565,32711,32767,32677,
28,32545,32649,32767,32682,
29,32569,32671,32767,32705,
30,32526,32605,32767,32677,
31,32552,32628,32767,32700#
