0,32767,32752,32751,32765,
1,32667,32527,32673,32767,
2,32556,32412,32653,32767,
3,32452,32238,32618,32767,
4,32434,32254,32604,32767,
5,32367,32090,32538,32767,
6,32327,32083,32533,32767,
7,32248,31929,32485,32767,
8,32267,31907,32449,32767,
9,32210,31758,32375,32767,
10,32181,31781,32391,32767,
11,32136,31676,32353,32767,
12,32126,31767,32381,32767,
13,32084,31646,32316,32767,
14,32073,31690,32331,32767,
15,32032,31598,32298,32767,
16,32114,31820,32433,32767,
17,32078,31746,32394,32767,
18,32028,31694,32401,32767,
19,31988,31609,32353,32767,
20,31981,31647,32361,32767,
21,31941,31574,32319,32767,
22,31910,31566,32327,32767,
23,31869,31493,32292,32767,
24,31895,31516,32277,32767,
25,31861,31430,32223,32767,
26,31842,31424,32219,32767,
27,31781,31354,32201,32767,
28,31771,31396,32202,32767,
29,31729,31326,32164,32767,
30,31714,31326,32158,32767,
31,31679,31233,32093,32767#
