-286.240,-285.705,-284.706,-285.547,-129.185,-128.363,-127.876,-129.229
-284.676,-286.891,-286.299,-283.432,-137.140,-128.492,-129.171,-129.356
-291.367,-286.703,-282.210,-285.468,-142.402,-127.965,-129.473,-126.772
-290.585,-287.560,-291.320,-287.632,-148.886,-128.971,-127.660,-130.131
-295.285,-291.457,-291.358,-289.198,-150.007,-127.693,-128.629,-129.420
-294.709,-290.123,-290.198,-289.503,-155.587,-127.682,-127.191,-129.227
-295.093,-290.159,-290.892,-287.648,-158.353,-127.454,-126.059,-129.164
-292.400,-288.957,-293.321,-287.923,-160.835,-128.111,-126.644,-129.913
-292.476,-291.264,-290.991,-289.675,-156.555,-126.715,-127.828,-128.629
-293.142,-287.716,-287.742,-288.027,-159.583,-126.709,-127.536,-129.782
-293.253,-289.030,-289.690,-289.624,-161.638,-127.568,-126.734,-129.467
-293.498,-287.666,-286.091,-286.974,-164.734,-128.873,-129.335,-131.492
-293.758,-285.775,-283.163,-288.815,-161.660,-128.670,-128.672,-130.438
-290.978,-286.554,-288.844,-288.356,-164.130,-128.547,-128.761,-131.096
-301.296,-292.987,-291.329,-294.940,-160.809,-126.654,-127.746,-128.758
-299.623,-294.472,-292.003,-295.202,-163.359,-126.093,-125.756,-127.692
-295.904,-290.938,-288.122,-290.230,-163.258,-126.999,-128.318,-130.352
-296.333,-293.342,-291.005,-290.921,-164.025,-126.949,-128.021,-129.536
-299.844,-291.244,-284.050,-293.859,-166.657,-127.097,-128.107,-129.742
-295.742,-294.822,-294.635,-292.339,-168.824,-126.575,-126.584,-129.370
-298.365,-294.804,-291.362,-293.744,-167.262,-126.727,-126.916,-128.399
-297.335,-294.938,-295.632,-294.560,-169.504,-128.055,-127.813,-130.327
-299.371,-293.835,-294.388,-294.193,-169.943,-126.754,-126.800,-129.395
-301.249,-295.917,-292.418,-294.826,-170.553,-126.415,-127.672,-128.947
-298.219,-294.655,-293.555,-293.559,-164.831,-127.046,-127.712,-128.923
-297.937,-295.304,-294.110,-294.132,-166.384,-126.581,-127.435,-129.220
-300.324,-293.759,-291.816,-292.918,-166.816,-127.074,-126.731,-130.570
-298.661,-293.669,-293.482,-293.516,-167.958,-127.164,-127.691,-130.668
-297.828,-296.254,-295.216,-294.578,-164.790,-126.788,-126.662,-128.627
-298.692,-296.510,-295.911,-295.738,-165.176,-124.811,-126.196,-129.278
-295.932,-294.466,-294.837,-295.603,-165.711,-125.847,-126.582,-128.066
-295.745,-291.550,-287.212,-302.280,-167.013,-125.563,-128.249,-128.261
