0,32767,32750,32752,32765,
1,32755,32735,32767,32632,
2,32537,32767,32504,32433,
3,32574,32767,32589,32385,
4,32361,32767,32430,32219,
5,32445,32767,32514,32223,
6,32227,32767,32316,32061,
7,32312,32767,32432,32094,
8,32338,32767,32422,32054,
9,32345,32767,32533,32043,
10,32247,32767,32363,31986,
11,32366,32767,32449,32062,
12,32194,32767,32340,31963,
13,32227,32767,32439,31969,
14,32176,32767,32278,31955,
15,32245,32767,32381,31991,
16,32586,32767,32633,31943,
17,32590,32767,32690,31946,
18,32583,32767,32582,31975,
19,32608,32767,32632,31993,
20,32610,32767,32531,32015,
21,32570,32767,32612,31995,
22,32513,32767,32520,31984,
23,32585,32767,32572,32041,
24,32508,32767,32574,31968,
25,32573,32767,32613,32007,
26,32510,32767,32519,31983,
27,32550,32767,32579,32023,
28,32442,32767,32520,31974,
29,32492,32767,32571,32009,
30,32435,32767,32485,31993,
31,32460,32767,32533,32010#
