 352.609, 351.633, 351.186, 348.809,  27.274,  27.015,  28.291,  45.200
 344.869, 352.209, 351.913, 347.795,  31.106,  29.116,  29.341,  46.259
 358.536, 352.850, 354.005, 349.070,  27.788,  27.038,  27.802,  46.631
 350.472, 352.368, 354.476, 348.963,  30.567,  30.209,  31.586,  46.927
 359.863, 353.378, 352.840, 351.991,  29.583,  29.526,  28.559,  48.248
 348.610, 354.365, 354.052, 353.337,  29.599,  28.841,  30.683,  47.335
 336.746, 353.842, 353.862, 352.336,   2.919,  27.085,  24.822,  45.491
 330.523, 352.778, 353.329, 352.099,   5.718,  28.100,  26.892,  47.076
 328.005, 354.393, 353.900, 352.121,   7.644,  29.757,  29.041,  46.707
 322.052, 353.123, 353.222, 352.625,   9.754,  30.284,  29.965,  49.575
 332.151, 353.764, 356.854, 350.412,   7.152,  28.775,  29.463,  47.132
 325.423, 356.060, 362.645, 353.050,  10.208,  29.288,  29.599,  46.493
 335.787, 361.618, 361.258, 360.214,  12.538,  32.308,  31.593,  50.311
 322.744, 362.114, 362.392, 354.375,  11.314,  31.979,  31.049,  47.466
 336.628, 355.702, 359.226, 351.678, -16.144,  29.072,  30.575,  47.653
 327.938, 362.038, 361.652, 353.564, -15.285,  31.176,  31.259,  46.946
 331.759, 357.456, 358.026, 357.550, -13.674,  30.281,  30.597,  49.042
 324.534, 356.168, 355.017, 353.977, -11.893,  28.640,  26.419,  46.727
 337.172, 356.526, 356.127, 354.416, -14.796,  28.352,  27.957,  45.740
 332.415, 357.485, 355.460, 352.699, -12.478,  28.796,  26.963,  45.732
 331.404, 354.930, 352.878, 349.874, -14.210,  27.064,  24.436,  44.334
 321.721, 354.033, 354.124, 348.779, -14.565,  26.489,  25.701,  43.487
