0,32764,32767,32765,32764,
1,32767,32726,32716,32690,
2,32767,32690,32760,32700,
3,32760,32707,32767,32648,
4,32726,32648,32767,32627,
5,32708,32657,32767,32581,
6,32700,32602,32767,32587,
7,32707,32647,32767,32546,
8,32767,32697,32720,32656,
9,32767,32741,32737,32635,
10,32767,32721,32767,32661,
11,32758,32761,32767,32619,
12,32754,32734,32767,32627,
13,32758,32767,32764,32605,
14,32706,32717,32767,32587,
15,32737,32767,32757,32571,
16,32722,32758,32767,32616,
17,32723,32767,32730,32587,
18,32713,32767,32766,32600,
19,32687,32767,32722,32552,
20,32683,32767,32742,32558,
21,32636,32767,32708,32495,
22,32662,32767,32735,32534,
23,32619,32767,32700,32476,
24,32624,32767,32643,32579,
25,32553,32767,32614,32498,
26,32566,32767,32647,32530,
27,32544,32767,32599,32480,
28,32540,32767,32623,32486,
29,32529,32767,32566,32434,
30,32519,32767,32615,32463,
31,32497,32767,32591,32433#
