10,32766,32757,32754,32767,
11,32757,32759,32767,32741,
12,32714,32767,32739,32701,
13,32715,32767,32761,32705,
14,32706,32767,32737,32664,
15,32677,32767,32745,32622,
16,32382,32665,32466,32767,
17,32396,32661,32460,32767,
18,32451,32767,32534,32707,
19,32485,32767,32535,32740,
20,32444,32767,32508,32674,
21,32434,32767,32523,32665,
22,32427,32767,32500,32601,
23,32338,32767,32529,32520,
24,32430,32767,32529,32702,
25,32344,32767,32569,32635,
26,32382,32767,32521,32597,
27,32380,32767,32529,32593,
28,32365,32767,32501,32589,
29,32364,32767,32503,32586,
30,32307,32767,32498,32506,
31,32299,32767,32506,32494#
