   5.341,   1.531,   1.883,   1.704,   4.501,   1.862,   2.573,   1.979,SR:C01-BI{BPM:1}
   6.427,   1.668,   2.020,   2.773,   7.260,   2.322,   2.964,   3.120,SR:C01-BI{BPM:2}
   7.039,   2.857,   5.132,   2.164,   3.304,   1.397,   1.367,   1.523,SR:C01-BI{BPM:3}
  12.954,   1.882,   3.473,   1.640,   7.837,   1.733,   2.207,   1.606,SR:C01-BI{BPM:4}
   2.396,   1.565,   1.879,   0.984,   6.414,   2.261,   2.659,   2.249,SR:C01-BI{BPM:5}
   3.833,   1.736,   2.306,   1.665,   4.695,   1.287,   1.713,   1.308,SR:C01-BI{BPM:6}
  11.151,   2.156,   2.887,   1.768,   4.715,   1.442,   2.235,   2.071,SR:C02-BI{BPM:1}
  15.321,   1.481,   1.967,   1.804,  18.124,   2.451,   3.408,   3.808,SR:C02-BI{BPM:2}
   5.332,   2.590,   4.914,   4.682,   5.854,   1.451,   1.925,   1.854,SR:C02-BI{BPM:3}
   9.486,   1.786,   3.294,   2.770,  11.292,   1.794,   2.062,   2.354,SR:C02-BI{BPM:4}
  10.039,   1.568,   1.958,   1.982,   9.735,   2.148,   2.788,   2.849,SR:C02-BI{BPM:5}
   4.640,   1.207,   1.396,   1.184,   1.510,   1.555,   2.045,   1.623,SR:C02-BI{BPM:6}
  11.094,   1.641,   2.256,   0.894,   4.629,   0.844,   1.250,   0.668,SR:C02-BI{BPM:7}
   2.979,   2.197,   2.771,   2.533,   4.621,   0.976,   1.502,   1.732,SR:C02-BI{BPM:8}
   4.466,   2.043,   2.550,   2.777,   2.671,   1.710,   2.005,   1.842,SR:C03-BI{BPM:1}
   4.041,   2.030,   2.580,   4.685,   3.772,   2.309,   2.504,   2.695,SR:C03-BI{BPM:2}
  21.095,   4.109,   6.496,   5.088,  13.966,   1.237,   1.481,   1.407,SR:C03-BI{BPM:3}
   5.962,   2.859,   4.542,   3.098,   5.812,   1.541,   2.259,   1.829,SR:C03-BI{BPM:4}
   9.111,   1.889,   2.347,   2.393,   9.664,   1.978,   3.535,   2.281,SR:C03-BI{BPM:5}
  10.490,   3.341,   3.709,   3.475,   6.725,   1.219,   2.241,   1.005,SR:C03-BI{BPM:6}
  17.678,   0.802,   0.985,   1.894,   6.764,   1.162,   1.436,   1.442,SR:C03-BI{BPM:7}
  18.392,   1.607,   2.228,   2.201,   3.090,   1.267,   1.599,   1.717,SR:C03-BI{BPM:8}
  11.407,   3.357,   3.969,   3.363,   5.440,   1.676,   1.900,   3.371,SR:C04-BI{BPM:1}
