0,32765,32761,32767,32765,
1,32587,32632,32720,32767,
2,32296,32573,32550,32767,
3,32191,32478,32537,32767,
4,32025,32465,32483,32767,
5,31978,32372,32475,32767,
6,31840,32371,32388,32767,
7,31826,32294,32393,32767,
8,31901,32443,32542,32767,
9,31888,32391,32552,32767,
10,31798,32395,32481,32767,
11,31814,32334,32485,32767,
12,31773,32356,32493,32767,
13,31775,32300,32506,32767,
14,31720,32304,32442,32767,
15,31743,32286,32463,32767,
16,31987,32516,32666,32767,
17,32000,32486,32683,32767,
18,31932,32494,32583,32767,
19,31898,32438,32598,32767,
20,31851,32445,32588,32767,
21,31862,32401,32607,32767,
22,31805,32408,32549,32767,
23,31839,32395,32572,32767,
24,31938,32560,32723,32767,
25,31969,32561,32753,32767,
26,31913,32545,32686,32767,
27,31961,32527,32684,32767,
28,31916,32517,32701,32767,
29,31918,32475,32705,32767,
30,31888,32508,32670,32767,
31,31901,32477,32689,32767#
