0,32741,32767,32766,32740,
1,32685,32650,32767,32664,
2,32767,32706,32697,32541,
3,32760,32679,32767,32505,
4,32767,32614,32610,32471,
5,32767,32605,32691,32441,
6,32767,32603,32579,32342,
7,32767,32562,32625,32313,
8,32767,32644,32603,32370,
9,32767,32652,32682,32346,
10,32767,32639,32579,32246,
11,32767,32629,32626,32208,
12,32767,32581,32475,32206,
13,32767,32570,32539,32189,
14,32767,32563,32433,32116,
15,32767,32572,32501,32087,
16,32767,32267,32523,32318,
17,32767,32237,32519,32291,
18,32767,32219,32422,32108,
19,32767,32242,32470,32076,
20,32767,32251,32410,32030,
21,32767,32231,32416,32000,
22,32767,32219,32347,31901,
23,32767,32183,32340,31878,
24,32767,32266,32293,31939,
25,32767,32256,32311,31912,
26,32767,32212,32204,31804,
27,32767,32268,32286,31771,
28,32767,32216,32166,31769,
29,32767,32200,32191,31746,
30,32767,32192,32137,31676,
31,32767,32188,32157,31645#
