-711.599,-712.119,-712.177,-712.309, 244.601, 245.166, 244.415, 244.044
-695.187,-711.273,-712.028,-712.855, 248.244, 243.456, 240.560, 242.198
-667.226,-710.337,-710.126,-711.738, 251.833, 241.555, 239.096, 243.167
-656.279,-710.556,-710.837,-712.862, 251.101, 245.601, 243.746, 242.237
-640.551,-709.965,-712.857,-712.406, 253.294, 244.691, 243.245, 245.274
-635.676,-708.062,-707.995,-711.149, 254.575, 243.903, 245.224, 244.695
-618.072,-705.781,-707.150,-709.470, 255.853, 243.736, 244.017, 244.833
-617.793,-708.714,-709.069,-712.492, 255.786, 243.153, 241.187, 244.907
-627.638,-707.284,-707.766,-713.239, 258.982, 241.892, 241.823, 244.265
-627.795,-708.531,-707.572,-711.723, 261.548, 243.805, 242.341, 245.789
-616.640,-708.983,-709.115,-712.715, 260.480, 243.731, 245.638, 245.934
-617.605,-709.292,-709.576,-713.353, 261.677, 244.914, 244.385, 246.438
-615.232,-709.309,-708.570,-714.878, 255.873, 243.422, 245.397, 243.388
-617.041,-709.003,-707.610,-713.973, 259.914, 243.371, 243.707, 243.318
-608.192,-709.238,-709.107,-713.313, 261.253, 246.188, 245.898, 246.091
-609.636,-708.817,-709.069,-714.541, 262.512, 244.695, 242.179, 245.126
-653.836,-709.032,-706.857,-715.821, 253.798, 244.342, 242.226, 246.144
-651.916,-708.815,-709.668,-716.216, 255.779, 245.189, 241.804, 245.670
-640.222,-708.054,-706.539,-713.689, 256.720, 245.578, 244.668, 245.831
-640.557,-708.561,-707.988,-713.934, 255.039, 245.673, 246.089, 247.456
-637.784,-707.155,-706.906,-713.856, 255.213, 245.800, 244.545, 244.016
-638.623,-707.497,-706.568,-712.465, 258.077, 244.272, 241.809, 245.099
-631.281,-708.047,-708.167,-714.704, 256.747, 245.792, 243.680, 246.204
-633.138,-708.119,-706.653,-714.087, 259.582, 244.138, 239.568, 245.653
-646.916,-708.555,-707.031,-714.355, 258.466, 244.684, 244.399, 245.429
-646.714,-708.766,-707.240,-713.356, 259.039, 245.089, 242.629, 243.071
-640.272,-708.195,-705.626,-711.389, 257.788, 245.284, 242.354, 243.383
-640.720,-707.803,-705.206,-713.795, 261.524, 243.696, 240.518, 242.087
-640.786,-708.365,-708.260,-712.284, 258.492, 245.513, 246.298, 243.557
-643.278,-709.710,-706.130,-709.849, 259.839, 245.959, 243.706, 244.493
-636.733,-709.269,-705.351,-712.418, 257.256, 245.588, 242.896, 245.977
-638.087,-709.011,-704.714,-711.017, 259.355, 243.915, 241.079, 243.928
