  11.551,   3.507,   3.585,   2.848,   6.193,   2.522,   2.956,   2.594,SR:C01-BI{BPM:1}
   9.807,   4.538,   5.196,   3.945,  11.079,   2.769,   3.540,   3.030,SR:C01-BI{BPM:2}
   7.014,   3.628,   3.928,   3.668,  18.756,   1.124,   1.665,   1.261,SR:C01-BI{BPM:3}
  14.180,   2.989,   3.580,   3.048,  14.857,   1.219,   2.253,   1.730,SR:C01-BI{BPM:4}
   4.332,   1.464,   1.893,   1.602,  13.181,   2.217,   3.247,   3.368,SR:C01-BI{BPM:5}
  14.249,   1.552,   1.936,   2.641,   3.850,   1.900,   2.542,   1.160,SR:C01-BI{BPM:6}
  14.979,   3.904,   4.449,   4.590,  24.322,   2.487,   2.980,   3.560,SR:C02-BI{BPM:1}
  23.151,   2.955,   3.348,   3.240,  17.964,   3.352,   3.866,   4.944,SR:C02-BI{BPM:2}
  15.488,   3.175,   3.626,   4.637,  13.488,   1.393,   1.978,   2.099,SR:C02-BI{BPM:3}
  10.146,   2.112,   2.458,   2.543,  21.303,   1.187,   2.022,   1.609,SR:C02-BI{BPM:4}
  21.654,   2.722,   3.514,   2.472,  10.363,   1.669,   2.525,   1.820,SR:C02-BI{BPM:5}
  12.841,   1.660,   2.174,   1.668,   3.229,   1.637,   2.338,   1.116,SR:C02-BI{BPM:6}
  16.035,   1.516,   1.893,   1.348,   6.346,   1.876,   2.126,   1.588,SR:C02-BI{BPM:7}
   9.225,   2.901,   3.279,   2.707,   4.921,   2.130,   2.384,   2.529,SR:C02-BI{BPM:8}
  10.321,   5.693,   6.776,   5.590,   3.551,   1.275,   2.078,   2.668,SR:C03-BI{BPM:1}
   6.872,   5.544,   6.402,   5.945,   5.181,   1.492,   2.572,   2.203,SR:C03-BI{BPM:2}
  26.204,   9.513,  11.100,   8.228,  19.280,   1.228,   1.887,   1.804,SR:C03-BI{BPM:3}
  10.240,   6.666,   7.827,   5.717,   6.220,   2.422,   3.210,   2.005,SR:C03-BI{BPM:4}
   9.980,   5.510,   6.306,   4.916,  15.254,   3.989,   4.782,   3.249,SR:C03-BI{BPM:5}
  10.848,   9.250,  10.542,   8.315,  11.593,   2.678,   3.192,   2.668,SR:C03-BI{BPM:6}
  28.508,   0.780,   1.171,   1.524,  15.884,   1.467,   1.797,   1.339,SR:C03-BI{BPM:7}
  42.930,   4.888,   5.672,   4.343,   3.154,   1.236,   1.737,   1.311,SR:C03-BI{BPM:8}
  14.170,   8.786,  10.190,   9.144,  23.533,   1.428,   2.203,   3.044,SR:C04-BI{BPM:1}
  25.255,   5.623,   6.715,   4.702,  12.551,   1.517,   2.781,   2.485,SR:C04-BI{BPM:2}
  11.629,   9.512,  11.087,   7.991,  24.480,   1.005,   1.478,   1.825,SR:C04-BI{BPM:3}
  12.390,   6.367,   7.435,   5.846,  42.645,   2.052,   2.874,   2.012,SR:C04-BI{BPM:4}
   7.283,   5.184,   5.644,   4.615,   9.091,   3.302,   4.149,   3.830,SR:C04-BI{BPM:5}
   6.285,   5.518,   6.218,   4.854,  11.326,   2.873,   3.418,   3.826,SR:C04-BI{BPM:6}
  17.206,   8.675,  10.023,   7.758,   9.826,   2.403,   2.741,   2.646,SR:C04-BI{BPM:7}
  12.873,   9.223,  10.444,   8.538,   6.197,   1.537,   1.932,   1.631,SR:C04-BI{BPM:8}
  12.115,   9.116,  10.619,   7.747,   4.299,   1.536,   1.919,   3.458,SR:C04-BI{BPM:9}
  18.940,   9.664,  11.288,   8.403,  10.465,   1.411,   2.026,   1.910,SR:C04-BI{BPM:10}
  14.570,   1.139,   1.191,   1.302,  16.352,   1.449,   1.959,   1.528,SR:C05-BI{BPM:1}
   7.871,   1.841,   2.045,   2.148,  12.173,   2.719,   3.767,   4.201,SR:C05-BI{BPM:2}
  10.533,   2.801,   3.389,   3.506,  14.698,   2.245,   2.832,   1.952,SR:C05-BI{BPM:3}
   6.212,   1.477,   1.914,   2.259,  14.430,   3.440,   4.309,   2.824,SR:C05-BI{BPM:4}
  16.981,   3.808,   4.696,   3.501,  20.226,   5.097,   6.330,   4.360,SR:C05-BI{BPM:5}
   8.877,   5.095,   6.174,   4.427,  23.549,   3.224,   3.934,   4.797,SR:C05-BI{BPM:6}
   8.596,   4.464,   5.128,   4.104,  13.274,   2.193,   2.796,   1.740,SR:C05-BI{BPM:7}
  13.893,   2.476,   2.974,   2.478,  13.167,   0.922,   1.156,   2.203,SR:C05-BI{BPM:8}
   6.807,   0.674,   0.907,   1.872,  10.804,   1.004,   1.873,   2.339,SR:C05-BI{BPM:9}
  15.509,   1.657,   2.186,   3.106,  27.930,   1.151,   1.718,   1.707,SR:C06-BI{BPM:1}
  12.436,   0.938,   1.194,   1.499,  13.363,   2.404,   2.856,   2.360,SR:C06-BI{BPM:2}
   8.256,   4.234,   5.191,   5.385,   8.379,   2.049,   2.384,   1.487,SR:C06-BI{BPM:3}
   7.877,   2.385,   2.908,   3.283,  11.453,   3.277,   3.876,   2.214,SR:C06-BI{BPM:4}
  10.080,   5.080,   6.083,   4.872,  21.726,   4.464,   5.523,   3.735,SR:C06-BI{BPM:5}
  19.786,   4.276,   5.050,   3.426,   5.219,   3.530,   4.214,   2.949,SR:C06-BI{BPM:6}
  20.985,   6.070,   6.922,   8.537,   8.352,   2.387,   2.969,   4.505,SR:C07-BI{BPM:1}
   6.634,   6.744,   7.648,   5.536,  13.279,   4.124,   4.891,   3.024,SR:C07-BI{BPM:2}
  11.840,  10.022,  10.812,   9.269,   8.374,   2.985,   3.468,   2.856,SR:C07-BI{BPM:3}
  21.811,   6.575,   7.253,   6.417,   8.091,   3.799,   4.619,   4.171,SR:C07-BI{BPM:4}
   5.428,   3.718,   3.866,   3.702,   7.980,   5.110,   6.268,   4.775,SR:C07-BI{BPM:5}
   6.871,   7.217,   7.997,   5.533,   6.702,   3.316,   3.907,   6.669,SR:C07-BI{BPM:6}
  10.467,   2.412,   2.987,   2.956,   1.742,   2.260,   2.700,   2.016,SR:C07-BI{BPM:7}
   5.848,   1.027,   1.047,   0.988,   2.251,   0.600,   0.752,   0.650,SR:C07-BI{BPM:8}
   3.251,   1.322,   1.364,   1.166,   6.522,   0.454,   0.645,   0.588,SR:C07-BI{BPM:9}
   4.313,   4.664,   5.097,   3.744,   3.885,   1.338,   1.677,   1.342,SR:C07-BI{BPM:10}
  26.009,   9.185,  10.743,   6.411,  13.588,   2.370,   3.022,   2.957,SR:C08-BI{BPM:1}
  25.046,   5.851,   6.676,   6.427,   6.918,   3.966,   4.994,   4.016,SR:C08-BI{BPM:2}
  11.469,   8.656,   9.794,   8.816,  32.373,   2.833,   3.489,   3.280,SR:C08-BI{BPM:3}
   5.903,   5.916,   6.683,   7.323,  21.060,   3.807,   4.610,   3.481,SR:C08-BI{BPM:4}
  13.711,   3.137,   3.373,   5.185,   7.671,   4.868,   5.702,   3.835,SR:C08-BI{BPM:5}
  14.391,   3.714,   3.998,   4.538,  10.872,   3.295,   3.664,   5.075,SR:C08-BI{BPM:6}
  10.861,   7.512,   8.251,   7.171,   1.737,   2.371,   2.841,   2.073,SR:C08-BI{BPM:7}
   9.064,   9.337,  10.555,   8.615,   5.973,   1.491,   2.042,   1.772,SR:C08-BI{BPM:8}
  12.399,   1.932,   2.371,   2.429,  17.382,   3.477,   4.361,   4.730,SR:C09-BI{BPM:1}
   7.653,   1.143,   1.565,   1.996,  10.424,   4.882,   5.945,   3.926,SR:C09-BI{BPM:2}
  16.665,   6.567,   7.428,   4.814,  29.188,   3.065,   3.652,   3.436,SR:C09-BI{BPM:3}
   9.023,   3.874,   4.424,   3.305,   9.884,   3.409,   3.936,   2.541,SR:C09-BI{BPM:4}
   6.410,   5.177,   5.947,   3.932,  13.621,   3.829,   4.467,   3.912,SR:C09-BI{BPM:5}
   7.623,   7.642,   8.876,   6.496,  11.631,   2.138,   2.305,   2.830,SR:C09-BI{BPM:6}
  18.841,   1.790,   2.065,   2.105,   8.140,   2.658,   3.145,   2.263,SR:C09-BI{BPM:7}
  11.734,   0.669,   0.862,   0.863,   3.681,   3.096,   3.791,   2.905,SR:C09-BI{BPM:8}
  12.918,   4.352,   5.114,   5.809,  16.956,   3.043,   3.642,   3.429,SR:C10-BI{BPM:1}
   6.846,   1.959,   2.409,   1.924,   7.207,   5.091,   5.847,   5.839,SR:C10-BI{BPM:2}
   6.906,   8.228,   9.398,   6.488,  24.464,   2.824,   3.391,   2.767,SR:C10-BI{BPM:3}
  26.720,   5.035,   5.760,   4.336,  37.956,   3.397,   4.055,   2.940,SR:C10-BI{BPM:4}
  18.199,   6.536,   7.444,   6.773,  22.669,   3.778,   4.362,   3.913,SR:C10-BI{BPM:5}
  14.418,   5.696,   6.237,   7.772,  23.634,   2.224,   2.779,   3.502,SR:C10-BI{BPM:6}
  13.653,   5.969,   7.159,   5.945,   6.682,   1.616,   2.066,   1.815,SR:C10-BI{BPM:7}
  45.691,   4.694,   5.417,   6.395,  22.570,   2.588,   3.192,   2.744,SR:C10-BI{BPM:8}
  17.724,   5.663,   6.000,   7.226,   8.824,   3.493,   3.990,   6.715,SR:C11-BI{BPM:1}
  15.458,   6.438,   6.954,   5.523,  14.307,   4.220,   5.068,   4.053,SR:C11-BI{BPM:2}
   8.409,   6.791,   7.195,   6.389,   5.328,   2.133,   2.680,   1.872,SR:C11-BI{BPM:3}
  41.007,   5.115,   5.545,   5.815,  39.405,   2.406,   3.159,   2.654,SR:C11-BI{BPM:4}
  39.730,   1.911,   2.030,   2.571,  47.041,   2.405,   3.410,   2.626,SR:C11-BI{BPM:5}
  17.013,   4.076,   4.304,   5.150,  10.613,   1.294,   2.227,   2.170,SR:C11-BI{BPM:6}
  11.374,   3.047,   3.422,   2.874,  17.381,   1.555,   2.116,   1.550,SR:C11-BI{BPM:7}
  47.058,   4.292,   4.649,   3.737,   6.690,   2.589,   2.998,   2.298,SR:C11-BI{BPM:8}
  12.765,   7.522,   8.121,   6.858,   7.967,   2.913,   3.464,   2.827,SR:C12-BI{BPM:1}
  21.378,   5.303,   5.824,   4.880,   8.851,   4.561,   5.500,   3.851,SR:C12-BI{BPM:2}
  29.415,   5.084,   5.287,   5.330,  16.197,   2.387,   2.846,   5.932,SR:C12-BI{BPM:3}
  10.983,   4.050,   4.260,   4.445,   6.777,   2.604,   3.180,   2.532,SR:C12-BI{BPM:4}
  10.142,   1.049,   1.080,   1.493,  16.745,   2.585,   3.518,   2.232,SR:C12-BI{BPM:5}
   8.726,   1.502,   1.503,   1.947,   6.082,   1.594,   2.197,   2.116,SR:C12-BI{BPM:6}
  26.001,   4.634,   4.961,   4.195,   8.589,   1.110,   1.582,   2.308,SR:C12-BI{BPM:7}
  12.354,   5.629,   6.017,   5.189,   7.535,   1.160,   1.462,   1.932,SR:C12-BI{BPM:8}
  11.392,   5.580,   5.845,   4.283,   5.159,   1.228,   1.624,   1.046,SR:C12-BI{BPM:9}
   9.625,   7.792,   8.761,   6.319,   8.932,   2.939,   3.439,   2.486,SR:C12-BI{BPM:10}
  16.576,   4.242,   4.745,   3.983,   7.363,   2.644,   3.260,   2.956,SR:C13-BI{BPM:1}
  26.641,   3.838,   4.410,   5.298,  15.684,   2.964,   3.977,   3.896,SR:C13-BI{BPM:2}
   9.556,   8.703,  10.116,   8.200,  10.646,   1.436,   1.919,   3.063,SR:C13-BI{BPM:3}
   7.239,   5.525,   6.302,   5.060,  19.892,   1.540,   2.553,   1.774,SR:C13-BI{BPM:4}
  23.923,   6.155,   6.981,   4.277,   7.971,   2.146,   3.149,   2.317,SR:C13-BI{BPM:5}
  18.234,   9.604,  11.152,   8.188,  24.158,   1.791,   2.378,   1.687,SR:C13-BI{BPM:6}
   7.661,   7.843,   8.837,   6.605,   6.287,   2.626,   3.430,   2.168,SR:C14-BI{BPM:1}
   9.817,   4.290,   4.839,   4.119,  13.545,   3.565,   4.556,   4.015,SR:C14-BI{BPM:2}
   9.742,   9.261,  10.207,   8.222,   6.785,   1.665,   2.310,   1.608,SR:C14-BI{BPM:3}
   6.770,   5.918,   6.673,   4.908,   5.893,   1.606,   2.195,   1.746,SR:C14-BI{BPM:4}
   6.499,   6.749,   7.378,   5.623,   4.367,   1.921,   2.705,   1.860,SR:C14-BI{BPM:5}
  14.531,   6.090,   6.611,   6.279,  26.511,   1.512,   2.305,   2.096,SR:C14-BI{BPM:6}
   8.729,   3.782,   3.919,   2.566,   9.021,   1.613,   2.490,   1.878,SR:C15-BI{BPM:1}
   3.690,   4.850,   5.620,   3.866,   5.270,   1.960,   2.986,   2.248,SR:C15-BI{BPM:2}
  10.049,   4.394,   4.460,   4.206,  21.781,   1.287,   2.112,   1.222,SR:C15-BI{BPM:3}
  27.641,   3.645,   3.818,   3.338,   9.498,   2.100,   2.856,   2.467,SR:C15-BI{BPM:4}
  12.895,   1.277,   1.729,   1.399,  23.106,   3.466,   4.264,   3.465,SR:C15-BI{BPM:5}
  16.982,   1.538,   1.566,   4.096,   9.727,   2.521,   2.958,   1.952,SR:C15-BI{BPM:6}
  12.863,   4.293,   4.539,   3.623,   7.031,   1.657,   2.090,   1.810,SR:C16-BI{BPM:1}
  17.072,   3.287,   3.604,   2.990,  13.539,   2.097,   3.095,   2.345,SR:C16-BI{BPM:2}
  16.089,   2.812,   2.915,   5.954,  16.946,   1.199,   1.764,   1.730,SR:C16-BI{BPM:3}
   7.754,   2.302,   2.527,   2.503,  12.629,   1.939,   2.751,   2.686,SR:C16-BI{BPM:4}
  14.578,   2.529,   2.855,   2.299,   8.082,   3.059,   3.937,   3.211,SR:C16-BI{BPM:5}
   3.370,   1.534,   1.738,   2.244,  12.110,   3.101,   4.273,   3.321,SR:C16-BI{BPM:6}
  29.701,   1.760,   2.030,   2.115,   4.301,   2.058,   2.380,   1.882,SR:C16-BI{BPM:7}
  22.719,   3.443,   3.695,   6.354,  13.737,   1.660,   2.005,   1.786,SR:C16-BI{BPM:8}
   7.160,   5.836,   6.596,   4.987,  17.472,   1.597,   2.625,   2.065,SR:C17-BI{BPM:1}
  13.565,   5.650,   6.339,   6.518,  10.145,   2.487,   3.561,   2.606,SR:C17-BI{BPM:2}
  26.515,  10.902,  12.254,   8.940,   5.900,   2.080,   2.804,   2.011,SR:C17-BI{BPM:3}
  16.839,   7.570,   8.544,   6.170,  14.135,   3.606,   4.298,   3.153,SR:C17-BI{BPM:4}
  11.958,   5.804,   6.414,   5.201,   5.117,   5.081,   6.022,   5.247,SR:C17-BI{BPM:5}
  15.509,   9.268,  10.425,   9.698,  14.541,   3.111,   3.626,   4.937,SR:C17-BI{BPM:6}
   5.342,   0.841,   0.959,   1.702,  10.632,   2.146,   2.954,   2.875,SR:C17-BI{BPM:7}
   2.476,   2.273,   2.640,   2.134,   6.679,   0.868,   1.207,   0.684,SR:C17-BI{BPM:8}
  11.783,   5.236,   5.760,   8.253,  10.032,   1.196,   1.742,   1.579,SR:C17-BI{BPM:9}
  10.784,  10.001,  11.565,   7.912,   9.093,   1.233,   1.825,   1.710,SR:C18-BI{BPM:1}
  18.134,   6.045,   6.640,   4.941,   4.185,   2.744,   3.658,   3.001,SR:C18-BI{BPM:2}
